customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,brand,product_line,product_class,product_size,list_price,standard_cost,Profit,address,state,country,Age,
66,Anselm,Gawne,Male,46,3/11/2002,Account Executive,Argiculture,High Net Worth,N,No,1,Trek Bicycles,Standard,medium,small,"$1,775.81","$1,580.47",$195.34,58 High Crossing Place,QLD,Australia,15,12/31/2017
1888,Sibyl,Scholtz,Female,67,1/26/2002,Food Chemist,Health,Mass Customer,N,Yes,1,WeareA2B,Standard,medium,medium,"$1,762.96",$950.52,$812.44,40 Rigney Street,NSW,Australia,15,
2296,Nathalia,Sanger,Female,16,1/1/2002,Geologist IV,Retail,Affluent Customer,N,No,1,WeareA2B,Standard,medium,medium,"$1,762.96",$950.52,$812.44,95 Riverside Way,NSW,Australia,16,
470,Darbee,Klimowicz,Male,22,12/19/2001,Internal Auditor,Retail,Mass Customer,N,No,1,Solex,Standard,low,medium,$945.04,$507.58,$437.46,837 Evergreen Junction,NSW,Australia,16,
3949,Costa,Sleightholm,Male,24,12/19/2001,Web Designer IV,Manufacturing,High Net Worth,N,Yes,1,Norco Bicycles,Standard,low,medium,$363.01,$290.41,$72.60,1 Bay Pass,VIC,Australia,16,
1402,Hillier,Andraud,Male,58,12/8/2001,Assistant Professor,Telecommunications,Mass Customer,N,No,1,Giant Bicycles,Standard,medium,medium,"$1,403.50",$954.82,$448.68,15 Almo Lane,NSW,Australia,16,
1519,Marwin,Jeyness,Male,35,11/30/2001,Administrative Assistant IV,Telecommunications,High Net Worth,N,Yes,1,WeareA2B,Standard,low,medium,$642.31,$513.85,$128.46,2 Shasta Street,VIC,Australia,16,
212,Nanice,Ellse,Female,21,11/19/2001,Desktop Support Technician,IT,Affluent Customer,N,No,1,WeareA2B,Standard,medium,medium,"$1,762.96",$950.52,$812.44,8208 Lotheville Street,VIC,Australia,16,
2759,Melodee,Hendrik,Female,16,11/14/2001,Operator,Health,Affluent Customer,N,Yes,1,Giant Bicycles,Standard,medium,medium,"$1,403.50",$954.82,$448.68,7 Dahle Avenue,NSW,Australia,16,
447,Brittany,Peasey,Female,98,11/6/2001,Help Desk Technician,Argiculture,Mass Customer,N,Yes,1,Norco Bicycles,Standard,medium,medium,$360.40,$270.30,$90.10,37 Mockingbird Street,QLD,Australia,16,
1250,Jacklyn,Kewley,Female,42,11/2/2001,Help Desk Technician,Manufacturing,Mass Customer,N,No,1,Solex,Road,medium,medium,$416.98,$312.74,$104.24,28 Menomonie Street,VIC,Australia,16,
751,Amie,Dufty,Female,41,10/31/2001,Business Systems Development Analyst,Financial Services,Affluent Customer,N,No,1,WeareA2B,Standard,medium,medium,"$1,228.07",$400.91,$827.16,324 Mifflin Road,NSW,Australia,16,
1322,Kathye,Christie,Female,37,10/16/2001,Data Coordiator,Financial Services,Mass Customer,N,Yes,1,Trek Bicycles,Road,medium,large,"$1,894.19",$598.76,"$1,295.43",3469 Service Road,NSW,Australia,16,
245,Noell,Grahlmans,Female,6,9/26/2001,Associate Professor,Financial Services,Affluent Customer,N,No,1,Norco Bicycles,Road,medium,medium,$544.05,$376.84,$167.21,6 Barby Road,QLD,Australia,16,
105,Maribeth,Pristnor,Female,25,9/17/2001,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,Norco Bicycles,Road,medium,medium,"$1,036.59",$206.35,$830.24,18 Buhler Court,VIC,Australia,16,
3997,Blanch,Nisuis,Female,87,7/13/2001,Statistician II,Manufacturing,High Net Worth,N,Yes,1,Trek Bicycles,Standard,medium,medium,$499.53,$388.72,$110.81,0 Prairie Rose Place,VIC,Australia,16,
2808,Preston,Tinkham,Male,68,6/29/2001,Actuary,Financial Services,Mass Customer,N,Yes,1,OHM Cycles,Road,medium,medium,"$1,280.28",$829.51,$450.77,46 Dawn Way,NSW,Australia,16,
3607,Troy,Blaydes,Male,99,5/22/2001,Clinical Specialist,Health,Mass Customer,N,No,1,OHM Cycles,Road,high,large,$12.01,$7.21,$4.80,77248 Columbus Drive,NSW,Australia,16,
3254,Lissy,Paliser,Female,8,5/22/2001,Human Resources Assistant I,Financial Services,Mass Customer,N,No,1,Norco Bicycles,Standard,high,medium,"$1,148.64",$689.18,$459.46,34694 Sugar Place,QLD,Australia,16,
2628,Giselbert,Gudyer,Male,29,5/21/2001,Assistant Media Planner,Entertainment,Affluent Customer,N,No,1,Norco Bicycles,Standard,medium,medium,"$1,198.46",$381.10,$817.36,258 Luster Court,NSW,Australia,16,
1813,Reeva,Eakeley,Female,45,5/19/2001,Technical Writer,Manufacturing,Mass Customer,N,No,1,Solex,Standard,medium,medium,"$1,483.20",$99.59,"$1,383.61",0 Thompson Road,VIC,Australia,16,
540,Tresa,Dy,Female,80,4/28/2001,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,Solex,Standard,medium,medium,$100.35,$75.26,$25.09,06495 Swallow Terrace,NSW,Australia,16,
3112,Terri,Gornal,Male,41,4/22/2001,Internal Auditor,Retail,High Net Worth,N,Yes,1,Giant Bicycles,Standard,medium,large,$569.56,$528.43,$41.13,7 Main Crossing,NSW,Australia,16,
19,Sorcha,Keyson,Female,76,4/15/2001,Geological Engineer,Manufacturing,High Net Worth,N,No,1,OHM Cycles,Standard,high,medium,"$1,458.17",$874.90,$583.27,94 Sheridan Parkway,VIC,Australia,16,
1355,Isador,Hallitt,Male,37,4/4/2001,VP Quality Control,Property,Mass Customer,N,No,1,OHM Cycles,Road,high,large,$12.01,$7.21,$4.80,4284 Debra Drive,QLD,Australia,16,
3616,Vale,Dagnan,Male,42,4/2/2001,Product Engineer,Property,High Net Worth,N,No,2,Trek Bicycles,Standard,medium,large,"$1,469.44",$596.55,$872.89,876 Ridgeview Circle,NSW,Australia,16,
2600,Darnell,Wistance,Male,55,3/3/2001,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,1,WeareA2B,Touring,medium,large,"$1,890.39",$260.14,"$1,630.25",6994 Hanson Place,NSW,Australia,16,
829,Byran,Goodfield,Male,84,1/22/2001,Environmental Tech,Financial Services,High Net Worth,N,Yes,2,Solex,Standard,medium,medium,"$1,483.20",$99.59,"$1,383.61",31111 Hoepker Road,VIC,Australia,16,
2392,Isadora,Gronaller,Female,48,1/11/2001,Marketing Assistant,Manufacturing,Affluent Customer,N,No,2,Trek Bicycles,Standard,low,medium,"$1,057.51",$154.40,$903.11,37 Division Way,NSW,Australia,16,
2998,Quintana,Housley,Female,34,12/19/2000,Nurse Practicioner,Manufacturing,High Net Worth,N,Yes,2,Trek Bicycles,Mountain,low,medium,$574.64,$459.71,$114.93,3765 Mandrake Alley,NSW,Australia,17,
3367,Melisse,Massei,Female,75,12/5/2000,Librarian,Entertainment,Mass Customer,N,Yes,1,WeareA2B,Standard,medium,small,"$1,415.01","$1,259.36",$155.65,515 Monterey Terrace,NSW,Australia,17,
